EFF_DATE,ARRIVAL_NAME,STAR_COMPUTER_CODE,ARTCC,DEST_GROUP,BODY_NAME,TRANSITION_COMPUTER_CODE,TRANSITION_NAME,ROUTE_POINTS,ROUTE_FROM_DEST_GROUP
03/19/2026,BENKY,BENKY.BENKY6,ZAU,ORD/27R,BENKY-HIMGO,CASHN.BENKY6,CASHN TRANSITION,CASHN BFORD BYLAW BENKY NEWRK AHSTN PETAH KURKK VULCN HIMGO,CASHN BFORD BYLAW BENKY NEWRK AHSTN PETAH KURKK VULCN HIMGO ORD/27R
01/22/2026,BENKY,BENKY.BENKY6_old_2602_changed,ZAU,ORD/04L|04R|09C|09L|09R|10C|10L|10R|22L|22R|27C|27L|28C|28R,BENKY-TONIE,DRAMS.BENKY6,DRAMS TRANSITION,DRAMS RYELY BFORD BYLAW BENKY NEWRK AHSTN PETAH JORJO MONKZ TONIE,DRAMS RYELY BFORD BYLAW BENKY NEWRK AHSTN PETAH JORJO MONKZ TONIE ORD/04L|04R|09C|09L|09R|10C|10L|10R|22L|22R|27C|27L|28C|28R
03/19/2026,BENKY,BENKY.BENKY6,ZAU,ORD/27R,BENKY-HIMGO,DRAMS.BENKY6,DRAMS TRANSITION,DRAMS RYELY BFORD BYLAW BENKY NEWRK AHSTN PETAH KURKK VULCN HIMGO,DRAMS RYELY BFORD BYLAW BENKY NEWRK AHSTN PETAH KURKK VULCN HIMGO ORD/27R
01/22/2026,BENKY,BENKY.BENKY6_old_2602_changed,ZAU,ORD/04L|04R|09C|09L|09R|10C|10L|10R|22L|22R|27C|27L|28C|28R,BENKY-TONIE,IRK.BENKY6,KIRKSVILLE TRANSITION,IRK LOAMY KEOKK DRAMS RYELY BFORD BYLAW BENKY NEWRK AHSTN PETAH JORJO MONKZ TONIE,IRK LOAMY KEOKK DRAMS RYELY BFORD BYLAW BENKY NEWRK AHSTN PETAH JORJO MONKZ TONIE ORD/04L|04R|09C|09L|09R|10C|10L|10R|22L|22R|27C|27L|28C|28R
03/19/2026,BENKY,BENKY.BENKY6,ZAU,ORD/27R,BENKY-HIMGO,IRK.BENKY6,KIRKSVILLE TRANSITION,IRK LOAMY KEOKK DRAMS RYELY BFORD BYLAW BENKY NEWRK AHSTN PETAH KURKK VULCN HIMGO,IRK LOAMY KEOKK DRAMS RYELY BFORD BYLAW BENKY NEWRK AHSTN PETAH KURKK VULCN HIMGO ORD/27R
01/22/2026,BENKY,BENKY.BENKY6_old_2602_changed,ZAU,ORD/04L|04R|09C|09L|09R|10C|10L|10R|22L|22R|27C|27L|28C|28R,BENKY-TONIE,LOAMY.BENKY6,LOAMY TRANSITION,LOAMY KEOKK DRAMS RYELY BFORD BYLAW BENKY NEWRK AHSTN PETAH JORJO MONKZ TONIE,LOAMY KEOKK DRAMS RYELY BFORD BYLAW BENKY NEWRK AHSTN PETAH JORJO MONKZ TONIE ORD/04L|04R|09C|09L|09R|10C|10L|10R|22L|22R|27C|27L|28C|28R
03/19/2026,BENKY,BENKY.BENKY6,ZAU,ORD/27R,BENKY-HIMGO,LOAMY.BENKY6,LOAMY TRANSITION,LOAMY KEOKK DRAMS RYELY BFORD BYLAW BENKY NEWRK AHSTN PETAH KURKK VULCN HIMGO,LOAMY KEOKK DRAMS RYELY BFORD BYLAW BENKY NEWRK AHSTN PETAH KURKK VULCN HIMGO ORD/27R
01/22/2026,BENKY,BENKY.BENKY6_old_2602_changed,ZAU,ORD/04L|04R|09C|09L|09R|10C|10L|10R|22L|22R|27C|27L|28C|28R,BENKY-TONIE,TRICH.BENKY6,TRICH TRANSITION,TRICH BENKY NEWRK AHSTN PETAH JORJO MONKZ TONIE,TRICH BENKY NEWRK AHSTN PETAH JORJO MONKZ TONIE ORD/04L|04R|09C|09L|09R|10C|10L|10R|22L|22R|27C|27L|28C|28R
03/19/2026,BENKY,BENKY.BENKY6,ZAU,ORD/27R,BENKY-HIMGO,TRICH.BENKY6,TRICH TRANSITION,TRICH BENKY NEWRK AHSTN PETAH KURKK VULCN HIMGO,TRICH BENKY NEWRK AHSTN PETAH KURKK VULCN HIMGO ORD/27R
03/19/2026,BENKY,BENKY.BENKY6,ZAU,ORD/28L,BENKY-RREGY,BFORD.BENKY6,BFORD TRANSITION,BFORD BYLAW BENKY NEWRK AHSTN PETAH JORJO MONKZ RREGY,BFORD BYLAW BENKY NEWRK AHSTN PETAH JORJO MONKZ RREGY ORD/28L
03/19/2026,BENKY,BENKY.BENKY6,ZAU,ORD/28L,BENKY-RREGY,BYLAW.BENKY6,BYLAW TRANSITION,BYLAW BENKY NEWRK AHSTN PETAH JORJO MONKZ RREGY,BYLAW BENKY NEWRK AHSTN PETAH JORJO MONKZ RREGY ORD/28L
03/19/2026,BENKY,BENKY.BENKY6,ZAU,ORD/28L,BENKY-RREGY,CASHN.BENKY6,CASHN TRANSITION,CASHN BFORD BYLAW BENKY NEWRK AHSTN PETAH JORJO MONKZ RREGY,CASHN BFORD BYLAW BENKY NEWRK AHSTN PETAH JORJO MONKZ RREGY ORD/28L
03/19/2026,BENKY,BENKY.BENKY6,ZAU,ORD/28L,BENKY-RREGY,DRAMS.BENKY6,DRAMS TRANSITION,DRAMS RYELY BFORD BYLAW BENKY NEWRK AHSTN PETAH JORJO MONKZ RREGY,DRAMS RYELY BFORD BYLAW BENKY NEWRK AHSTN PETAH JORJO MONKZ RREGY ORD/28L
03/19/2026,BENKY,BENKY.BENKY6,ZAU,ORD/28L,BENKY-RREGY,IRK.BENKY6,KIRKSVILLE TRANSITION,IRK LOAMY KEOKK DRAMS RYELY BFORD BYLAW BENKY NEWRK AHSTN PETAH JORJO MONKZ RREGY,IRK LOAMY KEOKK DRAMS RYELY BFORD BYLAW BENKY NEWRK AHSTN PETAH JORJO MONKZ RREGY ORD/28L
03/19/2026,BENKY,BENKY.BENKY6,ZAU,ORD/28L,BENKY-RREGY,LOAMY.BENKY6,LOAMY TRANSITION,LOAMY KEOKK DRAMS RYELY BFORD BYLAW BENKY NEWRK AHSTN PETAH JORJO MONKZ RREGY,LOAMY KEOKK DRAMS RYELY BFORD BYLAW BENKY NEWRK AHSTN PETAH JORJO MONKZ RREGY ORD/28L
03/19/2026,BENKY,BENKY.BENKY6,ZAU,ORD/28L,BENKY-RREGY,TRICH.BENKY6,TRICH TRANSITION,TRICH BENKY NEWRK AHSTN PETAH JORJO MONKZ RREGY,TRICH BENKY NEWRK AHSTN PETAH JORJO MONKZ RREGY ORD/28L
03/19/2026,BENKY,BENKY.BENKY6,ZAU,ORD/04L|04R|09C|09L|09R|10C|10L|10R|22L|22R|27C|27L|28C|28R,BENKY-TONIE,BFORD.BENKY6,BFORD TRANSITION,BFORD BYLAW BENKY NEWRK AHSTN PETAH JORJO MONKZ TONIE,BFORD BYLAW BENKY NEWRK AHSTN PETAH JORJO MONKZ TONIE ORD/04L|04R|09C|09L|09R|10C|10L|10R|22L|22R|27C|27L|28C|28R
03/19/2026,BENKY,BENKY.BENKY6,ZAU,ORD/04L|04R|09C|09L|09R|10C|10L|10R|22L|22R|27C|27L|28C|28R,BENKY-TONIE,BYLAW.BENKY6,BYLAW TRANSITION,BYLAW BENKY NEWRK AHSTN PETAH JORJO MONKZ TONIE,BYLAW BENKY NEWRK AHSTN PETAH JORJO MONKZ TONIE ORD/04L|04R|09C|09L|09R|10C|10L|10R|22L|22R|27C|27L|28C|28R
03/19/2026,BENKY,BENKY.BENKY6,ZAU,ORD/04L|04R|09C|09L|09R|10C|10L|10R|22L|22R|27C|27L|28C|28R,BENKY-TONIE,CASHN.BENKY6,CASHN TRANSITION,CASHN BFORD BYLAW BENKY NEWRK AHSTN PETAH JORJO MONKZ TONIE,CASHN BFORD BYLAW BENKY NEWRK AHSTN PETAH JORJO MONKZ TONIE ORD/04L|04R|09C|09L|09R|10C|10L|10R|22L|22R|27C|27L|28C|28R
03/19/2026,BENKY,BENKY.BENKY6,ZAU,ORD/04L|04R|09C|09L|09R|10C|10L|10R|22L|22R|27C|27L|28C|28R,BENKY-TONIE,DRAMS.BENKY6,DRAMS TRANSITION,DRAMS RYELY BFORD BYLAW BENKY NEWRK AHSTN PETAH JORJO MONKZ TONIE,DRAMS RYELY BFORD BYLAW BENKY NEWRK AHSTN PETAH JORJO MONKZ TONIE ORD/04L|04R|09C|09L|09R|10C|10L|10R|22L|22R|27C|27L|28C|28R
03/19/2026,BENKY,BENKY.BENKY6,ZAU,ORD/04L|04R|09C|09L|09R|10C|10L|10R|22L|22R|27C|27L|28C|28R,BENKY-TONIE,IRK.BENKY6,KIRKSVILLE TRANSITION,IRK LOAMY KEOKK DRAMS RYELY BFORD BYLAW BENKY NEWRK AHSTN PETAH JORJO MONKZ TONIE,IRK LOAMY KEOKK DRAMS RYELY BFORD BYLAW BENKY NEWRK AHSTN PETAH JORJO MONKZ TONIE ORD/04L|04R|09C|09L|09R|10C|10L|10R|22L|22R|27C|27L|28C|28R
03/19/2026,BENKY,BENKY.BENKY6,ZAU,ORD/04L|04R|09C|09L|09R|10C|10L|10R|22L|22R|27C|27L|28C|28R,BENKY-TONIE,LOAMY.BENKY6,LOAMY TRANSITION,LOAMY KEOKK DRAMS RYELY BFORD BYLAW BENKY NEWRK AHSTN PETAH JORJO MONKZ TONIE,LOAMY KEOKK DRAMS RYELY BFORD BYLAW BENKY NEWRK AHSTN PETAH JORJO MONKZ TONIE ORD/04L|04R|09C|09L|09R|10C|10L|10R|22L|22R|27C|27L|28C|28R
03/19/2026,BENKY,BENKY.BENKY6,ZAU,ORD/04L|04R|09C|09L|09R|10C|10L|10R|22L|22R|27C|27L|28C|28R,BENKY-TONIE,TRICH.BENKY6,TRICH TRANSITION,TRICH BENKY NEWRK AHSTN PETAH JORJO MONKZ TONIE,TRICH BENKY NEWRK AHSTN PETAH JORJO MONKZ TONIE ORD/04L|04R|09C|09L|09R|10C|10L|10R|22L|22R|27C|27L|28C|28R
01/22/2026,BEREE,BEREE.BEREE3_old_2602_changed,ZFW,DFW,BEREE-HEDMN,CRIED.BEREE3,CRIED TRANSITION,CRIED POWND WUUKY BEREE BELLS TACKE WARDZ DIETZ WHOOT HEDMN,CRIED POWND WUUKY BEREE BELLS TACKE WARDZ DIETZ WHOOT HEDMN DFW
