BIS,11.9206361,-15.6448416,-7.00
BIX,30.4070861,-88.9297138,-2.00
BIZ,37.2366111,9.7663888,3.00
BJ,38.0916111,-7.9326666,0.20
BJ,13.3381000,-16.6555111,-6.00
BJA,44.4769333,-73.1567638,-15.00
BJA,36.7145694,5.0803972,1.00
BJA,-3.3463388,29.3220250,-3.00
BJB,43.4219722,-88.1251805,-1.00
BJC,39.9130388,-105.1389861,11.00
BJD,32.9724166,59.2001388,3.00
BJX,20.9975583,-101.4825888,6.00
BJZ,40.0550000,113.4933333,-6.00
BKA,56.8594083,-135.5513111,20.00
BKD,53.0345250,11.5462166,2.00
BKE,44.8406000,-117.8078694,20.00
BKF,39.7073861,-104.7523861,8.00
BKK,13.8935555,100.5961944,-1.00
BKO,12.5466111,-7.9296944,-4.00
BKS,46.7999722,21.0738888,6.00
BKY,51.9897694,0.0619083,1.00
BKY,7.7472888,-5.0749416,-4.00
BKZ,41.1269722,29.1428888,6.00
BL,50.6368888,36.6085277,8.00
BLD,35.9957888,-114.8635777,15.00
BLE,41.2825000,2.0781666,0.20
BLF,37.3064416,-81.1942694,-3.00
BLG,50.3933333,127.4264444,-13.00
BLH,33.5960638,-114.7612722,14.00
BLH,46.8830833,74.9838055,7.00
BLI,-8.7505833,115.1633055,1.00
BLM,47.6328055,7.4995000,2.00
BLN,38.1525555,-3.6247222,1.00
BLO,42.6671111,23.8139444,6.00
BLT,41.2903888,2.0849722,0.20
BLT,4.2596833,20.9976277,2.00
BLT,31.5288888,31.1225000,5.00
BLU,11.9945111,-83.7726222,-1.00
BLV,-29.1006611,26.3006416,-22.00
BLV,43.3041944,-2.9253611,1.00
BLW,41.2901666,2.1006111,0.20
BLZ,60.0172222,37.7552777,13.00
BMK,54.2629722,48.2255000,13.00
BML,32.4168750,-6.2980222,-1.00
BMN,53.0462527,8.7604472,3.00
BMT,12.6665277,108.1230000,-1.00
BN,8.9520833,125.4837777,-1.00
BN,-27.3660833,153.1392222,11.00
BN,32.0163277,34.8976027,0.20
BNA,70.1762638,24.9484027,13.00
BNA,32.1244444,20.2536111,3.00
BNA,10.1124444,-64.6903888,-14.00
BNA,36.1369611,-86.6847722,-2.00
BND,27.1970555,56.3667500,2.00
BND,-6.8820833,107.5123333,1.00
BNE,50.6247777,1.9071111,1.00
BNE,13.7333694,-60.9770583,-15.00
BNG,38.8555555,40.6007777,6.00
BNK,70.0654444,24.9698805,13.00
BNN,21.9800000,100.7550000,-1.00
BNN,51.7261638,-0.5497500,1.00
BNN,65.4570527,12.2143416,5.00
BNO,49.1500638,16.6925805,5.00
BNS,8.6167500,-70.2205277,-11.00
BNS,33.6418055,-7.2080000,-1.00
BNU,45.3397222,55.1225000,7.00
BOA,44.5370277,11.2906666,3.00
BOD,28.1330472,6.8391750,1.00
BOG,4.8466666,-74.3233333,-8.00
BOI,43.5528111,-116.1921250,17.00
