ARPT_ID,ICAO_ID,ARPT_NAME,LAT_DECIMAL,LONG_DECIMAL,ELEV,RESP_ARTCC_ID,COMPUTER_ID,ARTCC_NAME,TWR_TYPE_CODE,DCC REGION,ASPM82,OEP35,Core30,Tower,Approach,Secondary Approach,Departure,Secondary Departure,Approach/Departure,Approach ID,Secondary Approach ID,Departure ID,Secondary Departure ID,Approach/Departure ID,Consolidated Approach,Consolidated Approach ID,OPSNET45
1O1,,GRANDFIELD MUNI,34.23758944,-98.74200916,1128,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
81OK,,TWIN LAKES RANCH,35.02638888,-99.33944444,1630,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
8OK5,,GROVE GENERAL HOSPITAL,36.5811,-94.75974722,797,ZKC,ZCK,KANSAS CITY,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
GMJ,KGMJ,GROVE RGNL,36.60677777,-94.73855555,830.9,ZKC,ZCK,KANSAS CITY,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,KANSAS CITY ARTCC,,KANSAS CITY ARTCC,,,ZKC,,ZKC,,,KANSAS CITY ARTCC,ZKC,FALSE
GOK,KGOK,GUTHRIE/EDMOND RGNL,35.85152272,-97.41617755,1069.2,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,OKE CITY,,OKE CITY,,,OKC,,OKC,,,OKE CITY,OKC,FALSE
55OL,,HIGLEY FLD,35.78043055,-97.56839166,1080,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
0OK5,,CHAPPELL,35.88893722,-97.40031777,1070,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
0OK6,,ELLIS/HARVEY,35.80171777,-97.38614972,1220,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
74OK,,PEGASUS AIRPARK,35.94772483,-97.48928483,1155,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
OL56,,GK EDWARDS,35.88625,-97.32236111,1108,ZKC,ZCK,KANSAS CITY,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
35OK,,HAYMAKER PRIVATE,36.05399722,-97.84235833,1178,ZKC,ZCK,KANSAS CITY,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
GUY,KGUY,GUYMON MUNI,36.68415547,-101.5069686,3125.4,ZKC,ZCK,KANSAS CITY,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,KANSAS CITY ARTCC,,KANSAS CITY ARTCC,,,ZKC,,ZKC,,,KANSAS CITY ARTCC,ZKC,FALSE
1OL2,,STECIAK STRIP,35.4889525,-97.19197472,1100,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
2K9,,HASKELL,35.83285252,-95.667417,587,ZKC,ZCK,KANSAS CITY,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
OK25,,CHEROKEE RANCH,35.81333333,-95.75333333,710,ZKC,ZCK,KANSAS CITY,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
OL48,,WINGIT,35.70710486,-95.56508544,650,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
F32,,HEALDTON MUNI,34.25489444,-97.47292777,955.9,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
9OK8,,WOODS ACRES,36.075609,-97.90616683,1150,ZKC,ZCK,KANSAS CITY,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
OK51,,ENIX,36.10420444,-97.93700166,1100,ZKC,ZCK,KANSAS CITY,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
4OK0,,1904 PRIVATE RUNWAY,36.16154444,-97.86194861,1151,ZKC,ZCK,KANSAS CITY,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
34OK,,HAYMAKER,36.04699166,-97.87490277,1134,ZKC,ZCK,KANSAS CITY,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
OK73,,HILLCREST HOSPITAL,35.43858333,-96.01604444,780,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
F10,,HENRYETTA MUNI,35.40687972,-96.01583277,849,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,FORT WORTH ARTCC,,FORT WORTH ARTCC,,,ZFW,,ZFW,,,FORT WORTH ARTCC,ZFW,FALSE
OK10,,CANADIAN RIVER CORRIENTES,35.53937777,-98.43018888,1534,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
2O8,,HINTON MUNI,35.50722222,-98.34255555,1587,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,FORT WORTH ARTCC,,FORT WORTH ARTCC,,,ZFW,,ZFW,,,FORT WORTH ARTCC,ZFW,FALSE
OK70,,NILES CANYON RANCH,35.43057222,-98.25768055,1611,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
46OK,,RICKER RANCH,35.47514444,-98.45162777,1665,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
29OK,,SMITH AIRPARK,35.46852222,-98.486925,1677,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
