doc_or_wiki_file,table_ref_count,tables
docs/CODEBASE_REORGANIZATION_CATALOG.md,2,p_plans; playbook_routes
docs/POWERBI_DATAFLOW_UPDATE.md,2,dbo.Running_VATSIM_Data_2; fact_network_5min
docs/planned_crossings_performance.md,2,adl_boundary_grid; adl_flight_core
docs/plans/2026-02-08-airport-groupings-design.md,2,dbo.apts; dbo.ref_major_airports
docs/plans/2026-02-08-airport-groupings-implementation.md,2,dbo.apts; dbo.ref_major_airports
docs/tmi/TMI_Publisher_v1.7_Transition.md,2,tmi_advisories; tmi_entries
wiki/Algorithm-Data-Refresh.md,2,adl_flight_core; dbo.adl_run_log
wiki/Algorithm-ETA-Calculation.md,2,dbo.adl_flight_times; dbo.adl_run_log
wiki/Configuration.md,2,aviationweather.gov; playbook_routes
wiki/Maintenance.md,2,adl_flight_core; tmi_programs
docs/ATFM_Simulator_Deployment_2026-01-12.md,1,nav_fixes
docs/ATFM_Simulator_Design_Document_v1.md,1,nav_fixes
docs/CANOC_ADVISORY_INTEGRATION.md,1,tmi_advisories
docs/ETA_ACCURACY_ANALYSIS_JAN_MAR_2026.md,1,adl_flight_core
docs/GDT_GS_Transition_Summary_20260110.md,1,tmi_programs
docs/HIBERNATION_RUNBOOK.md,1,hibernation_hits
docs/plans/2026-02-16-holding-detection-design.md,1,nav_fixes
docs/scaling/COST_OPTIMIZATION.md,1,dbo.swim_flights
docs/swim/SWIM_Phase2_Phase3_Transition.md,1,dbo.swim_api_keys
docs/swim/VATSWIM_Design_Document_v1.md,1,dbo.swim_flights
docs/tmi/ANNOUNCEMENT_TMI_COORDINATION.md,1,tmi_proposals
docs/tmi/ANNOUNCEMENT_TMI_COORDINATION_DISCORD.md,1,tmi_proposals
docs/tmi/DEPLOYMENT.md,1,tmi_programs
docs/tmi/GS_Eligibility_Fix_Transition.md,1,dbo.vw_adl_flights
docs/tmi/STATUS_WORKFLOW.md,1,tmi_entries
wiki/ATFM-Training-Simulator.md,1,nav_fixes
wiki/Code-Style.md,1,adl_flight_core
wiki/GDT-Ground-Delay-Tool.md,1,tmi_programs
wiki/NOD-Dashboard.md,1,nav_fixes
wiki/Route-Plotter.md,1,tmi_public_routes
wiki/TMI_Status_Demand_Chart_Integration_v2.md,1,adl_flight_core
