table,code_file
dbo.adl_flight_core,adl/migrations/oooi/009_arrival_detection_backfill.sql
dbo.adl_flight_core,adl/migrations/oooi/010_airport_taxi_reference.sql
dbo.adl_flight_core,adl/migrations/oooi/011_airport_connect_reference.sql
dbo.adl_flight_core,adl/migrations/stats/002_flight_stats_procedures.sql
dbo.adl_flight_core,adl/migrations/stats/004_flight_stats_carrier_domestic.sql
dbo.adl_flight_core,adl/migrations/stats/012_flight_phase_snapshot.sql
dbo.adl_flight_core,adl/migrations/stats/012b_backfill_phase_snapshots.sql
dbo.adl_flight_core,adl/migrations/stats/012c_rebackfill_snapshots.sql
dbo.adl_flight_core,adl/migrations/stats/012d_fix_phase_snapshot.sql
dbo.adl_flight_core,adl/migrations/stats/012e_backfill_with_ratios.sql
dbo.adl_flight_core,adl/migrations/stats/013_snapshot_gap_backfill.sql
dbo.adl_flight_core,adl/migrations/tmi/002_gs_procedures.sql
dbo.adl_flight_core,adl/migrations/tmi/003_fix_gs_getflights.sql
dbo.adl_flight_core,adl/migrations/tmi/003_gdt_views.sql
dbo.adl_flight_core,adl/migrations/tmi/004_fix_gs_etd_fallback.sql
dbo.adl_flight_core,adl/migrations/tmi/004_gdt_columns_fix.sql
dbo.adl_flight_core,adl/migrations/tmi/005_fix_gs_etd_comprehensive.sql
dbo.adl_flight_core,adl/migrations/tmi/006_gs_model_fir_support.sql
dbo.adl_flight_core,adl/migrations/tmi/007_gs_model_fir_exclusions.sql
dbo.adl_flight_core,adl/migrations/tmi/007_update_view_gdt_columns.sql
dbo.adl_flight_core,adl/migrations/tmi/008_view_compute_missing_times.sql
dbo.adl_flight_core,adl/migrations/tmi/009_add_gs_flag_eligibility.sql
dbo.adl_flight_core,adl/migrations/tmi/test_gs_workflow.sql
dbo.adl_flight_core,adl/migrations/weather/002_weather_impact_detection.sql
dbo.adl_flight_core,adl/migrations/weather/004_fix_weather_polygon_orientation.sql
dbo.adl_flight_core,adl/migrations/wind/002_eta_wind_integration.sql
dbo.adl_flight_core,adl/php/boundary_daemon.php
dbo.adl_flight_core,adl/php/boundary_gis_daemon.php
dbo.adl_flight_core,adl/php/cleanup_queue.php
