EFF_DATE,ARRIVAL_NAME,STAR_COMPUTER_CODE,ARTCC,DEST_GROUP,BODY_NAME,TRANSITION_COMPUTER_CODE,TRANSITION_NAME,ROUTE_POINTS,ROUTE_FROM_DEST_GROUP
11/27/2025,SHFTY,SHFTY.SHFTY6,ZMA,KMKY,SHFTY-KLAWS,HIBAC.SHFTY6,HIBAC TRANSITION,HIBAC PIVVV CRIZZ LOOOU CRMIN SHFTY WRTRS BUNGE MAZZY MOEMO LBELL IRNIE KOCHE COGDL KLAWS,HIBAC PIVVV CRIZZ LOOOU CRMIN SHFTY WRTRS BUNGE MAZZY MOEMO LBELL IRNIE KOCHE COGDL KLAWS KMKY
11/27/2025,SHFTY,SHFTY.SHFTY6,ZMA,KAPF,SHFTY-TIOFF,HIBAC.SHFTY6,HIBAC TRANSITION,HIBAC PIVVV CRIZZ LOOOU CRMIN SHFTY WRTRS BUNGE MAZZY MOEMO LBELL IRNIE KOCHE COGDL TIOFF,HIBAC PIVVV CRIZZ LOOOU CRMIN SHFTY WRTRS BUNGE MAZZY MOEMO LBELL IRNIE KOCHE COGDL TIOFF KAPF
11/27/2025,SHFTY,SHFTY.SHFTY6,ZMA,KFMY,SHFTY-PONTY,HIBAC.SHFTY6,HIBAC TRANSITION,HIBAC PIVVV CRIZZ LOOOU CRMIN SHFTY WRTRS BUNGE MAZZY MOEMO LBELL IRNIE WYCOF PONTY,HIBAC PIVVV CRIZZ LOOOU CRMIN SHFTY WRTRS BUNGE MAZZY MOEMO LBELL IRNIE WYCOF PONTY KFMY
11/27/2025,SHFTY,SHFTY.SHFTY6,ZMA,KRSW/24,SHFTY-RODDE,HIBAC.SHFTY6,HIBAC TRANSITION,HIBAC PIVVV CRIZZ LOOOU CRMIN SHFTY WRTRS BUNGE MAZZY MOEMO LBELL RODDE,HIBAC PIVVV CRIZZ LOOOU CRMIN SHFTY WRTRS BUNGE MAZZY MOEMO LBELL RODDE KRSW/24
11/27/2025,SHFTY,SHFTY.SHFTY6,ZMA,KRSW/06,SHFTY-STERO,HIBAC.SHFTY6,HIBAC TRANSITION,HIBAC PIVVV CRIZZ LOOOU CRMIN SHFTY WRTRS MAZZY MOEMO LBELL IRNIE WYCOF STERO,HIBAC PIVVV CRIZZ LOOOU CRMIN SHFTY WRTRS MAZZY MOEMO LBELL IRNIE WYCOF STERO KRSW/06
11/27/2025,SHFTY,SHFTY.SHFTY6,ZMA,KMKY,SHFTY-KLAWS,INPIN.SHFTY6,INPIN TRANSITION,INPIN VALCH SHFTY WRTRS BUNGE MAZZY MOEMO LBELL IRNIE KOCHE COGDL KLAWS,INPIN VALCH SHFTY WRTRS BUNGE MAZZY MOEMO LBELL IRNIE KOCHE COGDL KLAWS KMKY
11/27/2025,SHFTY,SHFTY.SHFTY6,ZMA,KAPF,SHFTY-TIOFF,INPIN.SHFTY6,INPIN TRANSITION,INPIN VALCH SHFTY WRTRS BUNGE MAZZY MOEMO LBELL IRNIE KOCHE COGDL TIOFF,INPIN VALCH SHFTY WRTRS BUNGE MAZZY MOEMO LBELL IRNIE KOCHE COGDL TIOFF KAPF
11/27/2025,SHFTY,SHFTY.SHFTY6,ZMA,KFMY,SHFTY-PONTY,INPIN.SHFTY6,INPIN TRANSITION,INPIN VALCH SHFTY WRTRS BUNGE MAZZY MOEMO LBELL IRNIE WYCOF PONTY,INPIN VALCH SHFTY WRTRS BUNGE MAZZY MOEMO LBELL IRNIE WYCOF PONTY KFMY
11/27/2025,SHFTY,SHFTY.SHFTY6,ZMA,KRSW/24,SHFTY-RODDE,INPIN.SHFTY6,INPIN TRANSITION,INPIN VALCH SHFTY WRTRS BUNGE MAZZY MOEMO LBELL RODDE,INPIN VALCH SHFTY WRTRS BUNGE MAZZY MOEMO LBELL RODDE KRSW/24
11/27/2025,SHFTY,SHFTY.SHFTY6,ZMA,KRSW/06,SHFTY-STERO,INPIN.SHFTY6,INPIN TRANSITION,INPIN VALCH SHFTY WRTRS MAZZY MOEMO LBELL IRNIE WYCOF STERO,INPIN VALCH SHFTY WRTRS MAZZY MOEMO LBELL IRNIE WYCOF STERO KRSW/06
