EFF_DATE,DP_NAME,DP_COMPUTER_CODE,ARTCC,ORIG_GROUP,BODY_NAME,TRANSITION_COMPUTER_CODE,TRANSITION_NAME,ROUTE_POINTS,ROUTE_FROM_ORIG_GROUP
11/27/2025,RVRCT,RVRCT4.RVRCT,ZOA,KSMF/35L|35R,RVRCT,RVRCT4.RALEY,RALEY TRANSITION,RVRCT DNGER RALEY,KSMF/35L|35R RVRCT DNGER RALEY
11/27/2025,RVRCT,RVRCT4.RVRCT,ZOA,KSMF/35L|35R,RVRCT,RVRCT4.SHUFL,SHUFL TRANSITION,RVRCT DOSCO DUNGN DRAGN SHUFL,KSMF/35L|35R RVRCT DOSCO DUNGN DRAGN SHUFL
11/27/2025,RYPAX,RYPAX2.RYPAX,ZOA,KUKI/15,RYPAX,RYPAX2.GETER,GETER TRANSITION,RYPAX GETER,KUKI/15 RYPAX GETER
11/27/2025,RYPAX,RYPAX2.RYPAX,ZOA,KUKI/15,RYPAX,RYPAX2.LAPED,LAPED TRANSITION,RYPAX LAPED,KUKI/15 RYPAX LAPED
11/27/2025,RYPAX,RYPAX2.RYPAX,ZOA,KUKI/15,RYPAX,RYPAX2.MERRI,MERRI TRANSITION,RYPAX LAMSN LUCRN MERRI,KUKI/15 RYPAX LAMSN LUCRN MERRI
11/27/2025,RYPAX,RYPAX2.RYPAX,ZOA,KUKI/15,RYPAX,RYPAX2.SABBY,SABBY TRANSITION,RYPAX LAMSN SABBY,KUKI/15 RYPAX LAMSN SABBY
11/27/2025,SABTH,SABTH2.SABTH,ZDV,KDEN/16L|16R|17R,BOGEI-SABTH,SABTH2.JOPLN,JOPLN TRANSITION,BOGEI JSMNN SHOJO SABTH JOPLN,KDEN/16L|16R|17R BOGEI JSMNN SHOJO SABTH JOPLN
11/27/2025,SABTH,SABTH2.SABTH,ZDV,KDEN/25,BRKEM-SABTH,SABTH2.JOPLN,JOPLN TRANSITION,BRKEM LENNN TIKLR CIROS ICECI SHOJO SABTH JOPLN,KDEN/25 BRKEM LENNN TIKLR CIROS ICECI SHOJO SABTH JOPLN
11/27/2025,SABTH,SABTH2.SABTH,ZDV,KDEN/08,KIDNG-SABTH,SABTH2.JOPLN,JOPLN TRANSITION,KIDNG TWWIN FIGTR PACMN SHOJO SABTH JOPLN,KDEN/08 KIDNG TWWIN FIGTR PACMN SHOJO SABTH JOPLN
11/27/2025,SABTH,SABTH2.SABTH,ZDV,KDEN/17L,RAYDR-SABTH,SABTH2.JOPLN,JOPLN TRANSITION,RAYDR JSMNN SHOJO SABTH JOPLN,KDEN/17L RAYDR JSMNN SHOJO SABTH JOPLN
11/27/2025,SABTH,SABTH2.SABTH,ZDV,KDEN/34L|34R|35L|35R,SHOJO-SABTH,SABTH2.JOPLN,JOPLN TRANSITION,SHOJO SABTH JOPLN,KDEN/34L|34R|35L|35R SHOJO SABTH JOPLN
