source_file,connection_symbol
api/mgt/enroute_planning/post.php,conn_pdo_mysql
api/mgt/enroute_staffing/post.php,conn_pdo_mysql
api/mgt/event_data/post.php,conn_pdo_mysql
api/mgt/forecast/post.php,conn_pdo_mysql
api/mgt/goals/post.php,conn_pdo_mysql
api/mgt/group_flights/post.php,conn_pdo_mysql
api/mgt/historical/post.php,conn_pdo_mysql
api/mgt/personnel/post.php,conn_pdo_mysql
api/mgt/perti/post.php,conn_pdo_mysql
api/mgt/playbook/save.php,get_conn_gis
api/mgt/schedule/post.php,conn_pdo_mysql
api/mgt/scores/post.php,conn_pdo_mysql
api/mgt/terminal_constraints/post.php,conn_pdo_mysql
api/mgt/terminal_init_times/create.php,conn_pdo_mysql
api/mgt/terminal_inits/post.php,conn_pdo_mysql
api/mgt/terminal_inits/times/create.php,conn_pdo_mysql
api/mgt/terminal_inits/times/post.php,conn_pdo_mysql
api/mgt/terminal_planning/post.php,conn_pdo_mysql
api/mgt/terminal_staffing/post.php,conn_pdo_mysql
api/mgt/tmi/ground_stops/post.php,conn_pdo_mysql
api/nod/fea.php,get_conn_adl
api/nod/fea.php,get_conn_tmi
api/nod/flows/configs.php,get_conn_adl
api/nod/flows/elements.php,get_conn_adl
api/nod/flows/gates.php,get_conn_adl
api/nod/flows/suggestions.php,get_conn_adl
api/nod/flows/suggestions.php,get_conn_ref
api/nod/tmi_active.php,get_conn_adl
api/nod/tmi_active.php,get_conn_tmi
api/swim/v1/cdm/airport-status.php,get_conn_adl
api/swim/v1/cdm/airport-status.php,get_conn_tmi
api/swim/v1/cdm/compliance.php,get_conn_adl
api/swim/v1/cdm/compliance.php,get_conn_tmi
api/swim/v1/cdm/metrics.php,get_conn_adl
api/swim/v1/cdm/metrics.php,get_conn_tmi
api/swim/v1/cdm/readiness.php,get_conn_adl
api/swim/v1/cdm/readiness.php,get_conn_tmi
api/swim/v1/cdm/status.php,get_conn_adl
api/swim/v1/cdm/status.php,get_conn_tmi
api/swim/v1/playbook/plays.php,get_conn_swim
api/swim/v1/reference/taxi-times.php,get_conn_adl
api/swim/v1/routes/cdrs.php,get_conn_ref
api/swim/v1/routes/cdrs.php,get_conn_swim
database/Migrate.php,conn_pdo_mysql
load/connect.php,conn_pdo_mysql
load/connect.php,get_conn_adl
load/connect.php,get_conn_gis
load/connect.php,get_conn_ref
load/connect.php,get_conn_swim
load/connect.php,get_conn_tmi
load/services/EDCTDelivery.php,conn_pdo_mysql
load/services/GISService.php,get_conn_gis
scripts/backfill/hibernation_recovery.php,get_conn_adl
scripts/backfill/hibernation_recovery.php,get_conn_swim
scripts/cdm_daemon.php,get_conn_adl
scripts/cdm_daemon.php,get_conn_tmi
scripts/deploy_sp_optimizations.php,get_conn_adl
scripts/ecfmp_poll_daemon.php,get_conn_tmi
scripts/indexer/run_indexer.php,conn_pdo_mysql
scripts/indexer/run_indexer.php,get_conn_adl
scripts/indexer/run_indexer.php,get_conn_gis
scripts/indexer/run_indexer.php,get_conn_ref
scripts/indexer/run_indexer.php,get_conn_tmi
scripts/playbook/export_playbook.php,conn_pdo_mysql
scripts/playbook/recompute_traversed.php,get_conn_gis
scripts/refdata_sync_daemon.php,conn_pdo_mysql
scripts/refdata_sync_daemon.php,get_conn_adl
scripts/refdata_sync_daemon.php,get_conn_ref
scripts/swim_refdata_sync.php,conn_pdo_mysql
scripts/swim_refdata_sync.php,get_conn_ref
scripts/swim_refdata_sync.php,get_conn_swim
scripts/vnas_controller_poll.php,get_conn_swim
scripts/zone_daemon.php,get_conn_adl
status.php,get_conn_gis
swim-keys.php,get_conn_swim
